Date,Subject or Title,Sent,Delivered,Total Opens,Unique Opens,Open Rate,Unique Clicks,Click-Through Rate,Verified Unique Clicks,Verified Click-Through Rate,Unsubscribed,Unsubscribe Rate,Spam Reported,Spam Reported Rate,Web Views,Web Clicks Unique,Web Click Rate,Post ID,Content Tags,Delivery Rate
"May 28, 2025","Big Tech, Bigger Battles: Fortnite Dances All O...",58,58,255,53,91.38%,47,88.68%,47,88.68%,0,0.00%,0,,46,4,8.70%,15589269-9605-4f9d-b70c-07f225e35a25,Daily News,100.00
"May 29, 2025",Ctrl+Alt+Delete: Putin’s Digital Purge,58,58,168,41,70.69%,21,51.22%,20,48.78%,0,0.00%,0,,9,1,11.11%,03abc079-3467-4c17-af30-6d1851591a66,Daily News,100.00
"May 30, 2025","AI, Apps & Auto Fails: This Week",58,58,95,38,65.52%,15,39.47%,14,36.84%,0,0.00%,0,,11,2,18.18%,8daed451-0077-4b3e-a696-b854e87f6cf9,Daily News,100.00
"Jun 2, 2025",Big Tech Hears All (And Pays Up),58,58,88,41,70.69%,8,19.51%,7,17.07%,0,0.00%,0,,1,0,0.00%,74c18208-a849-4d02-bc68-a3b71ef5a6f2,Daily News,100.00
"Jun 3, 2025","Call of Duty, Now Microsoft’s Problem",58,58,101,39,67.24%,8,20.51%,7,17.95%,0,0.00%,0,,6,0,0.00%,d981ca7f-4b07-4e27-b796-3a414b00651a,Daily News,100.00
"Jun 4, 2025",Google’s Monopoly in the Hot Seat,58,58,94,38,65.52%,7,18.42%,6,15.79%,0,0.00%,0,,8,0,0.00%,8eb6d051-f512-4e8b-ba27-bb1e5ecab0c3,Daily News,100.00
"Jun 5, 2025",Apple’s Garden Gets a Gate,58,58,73,39,67.24%,8,20.51%,8,20.51%,1,1.72%,0,,1,0,0.00%,3b300c35-7aac-49f4-9204-32e9f82ad71d,Daily News,100.00
"Jun 6, 2025",Electric Planes Take Off,57,57,60,40,70.18%,8,20%,8,20%,0,0.00%,0,,3,0,0.00%,2731c010-968e-4641-8257-d5a80b1e4e36,Daily News,100.00
"Jun 9, 2025",Browsers Get Bored—Go Full AI,313,313,278,179,57.19%,11,6.15%,10,5.59%,4,1.28%,0,,7,1,14.29%,ebc08442-7bc4-4825-abcb-8daaa71c5609,Daily News,100.00
"Jun 10, 2025",Boardroom Blunders & AI Wonders,309,306,255,166,54.25%,9,5.42%,8,4.82%,2,0.65%,0,,7,0,0.00%,3327300d-6caa-4449-bbc3-96b31697276d,Daily News,99.03
"Jun 11, 2025",AI vs Artists: Copyright Showdown,307,304,217,130,42.76%,14,10.77%,13,10%,3,0.99%,0,,11,2,18.18%,093d229d-64dc-46c7-be9b-1559c7e15e76,Daily News,99.02
"Jun 12, 2025",When AI Stays on Your Device,305,302,262,169,55.96%,13,7.69%,12,7.10%,2,0.66%,0,0.00%,5,0,0.00%,2bdeac3b-f82d-4965-9132-6194bac64e0c,Daily News,99.02
"Jun 13, 2025",Chatbots in the Cloud: Plot Twist,303,300,202,136,45.33%,7,5.15%,7,5.15%,0,0.00%,0,0.00%,6,0,0.00%,080a86d4-143b-4edf-899c-226dfdee52a5,Daily News,99.01
"Jun 16, 2025",The Secret Life of SaaS Bots,303,299,200,135,45.15%,10,7.41%,10,7.41%,1,0.33%,0,0.00%,3,1,33.33%,4d3c7271-3a9e-40b8-91d4-d94d25fab524,Daily News,98.68
"Jun 17, 2025",Your Startup Just Got Acquihired,0,0,0,0,,0,,0,,0,,0,,42,2,4.76%,ba952100-6616-49c1-8ddd-2a72fbc270f7,Daily News,#DIV/0!
"Jun 18, 2025",The Island That Runs the Machines,797,785,588,439,55.92%,21,4.78%,17,3.87%,7,0.89%,0,0.00%,5,0,0.00%,4a6431a6-57f1-41f2-bac4-4b18ed65c71c,Daily News,98.49
